policy_name,region1_masks,region2_masks,aged_ratio_1,aged_ratio_2
Equal_0.0,0,0,0.5,0.5
Equal_0.05,20000,20000,0.5,0.5
Equal_0.1,40000,40000,0.5,0.5
Equal_0.15,60000,60000,0.5,0.5
Equal_0.2,80000,80000,0.5,0.5
Equal_0.25,100000,100000,0.5,0.5
Equal_0.3,120000,120000,0.5,0.5
Equal_0.35,140000,140000,0.5,0.5
Equal_0.4,160000,160000,0.5,0.5
Equal_0.45,180000,180000,0.5,0.5
Equal_0.5,200000,200000,0.5,0.5
Fair_0.0_0.02,0,0,0.5,0.5
Fair_0.0_0.05,0,0,0.5,0.5
Fair_0.0_0.08,0,0,0.5,0.5
Fair_0.0_0.1,0,0,0.5,0.5
Fair_0.0_0.12,0,0,0.5,0.5
Fair_0.0_0.15,0,0,0.5,0.5
Fair_0.0_0.18,0,0,0.5,0.5
Fair_0.0_0.2,0,0,0.5,0.5
Fair_0.0_0.22,0,0,0.5,0.5
Fair_0.0_0.25,0,0,0.5,0.5
Fair_0.0_0.28,0,0,0.5,0.5
Fair_0.0_0.3,0,0,0.5,0.5
Fair_0.0_0.32,0,0,0.5,0.5
Fair_0.0_0.35,0,0,0.5,0.5
Fair_0.0_0.38,0,0,0.5,0.5
Fair_0.0_0.4,0,0,0.5,0.5
Fair_0.0_0.43,0,0,0.5,0.5
Fair_0.0_0.45,0,0,0.5,0.5
Fair_0.0_0.48,0,0,0.5,0.5
Fair_0.0_0.5,0,0,0.5,0.5
Fair_0.05_0.02,20800,19200,0.5,0.5
Fair_0.05_0.05,22000,18000,0.5,0.5
Fair_0.05_0.08,23200,16800,0.5,0.5
Fair_0.05_0.1,24000,16000,0.5,0.5
Fair_0.05_0.12,24799,15199,0.5,0.5
Fair_0.05_0.15,26000,14000,0.5,0.5
Fair_0.05_0.18,27200,12800,0.5,0.5
Fair_0.05_0.2,28000,12000,0.5,0.5
Fair_0.05_0.22,28800,11200,0.5,0.5
Fair_0.05_0.25,30000,10000,0.5,0.5
Fair_0.05_0.28,31200,8800,0.5,0.5
Fair_0.05_0.3,32000,8000,0.5,0.5
Fair_0.05_0.32,32800,7200,0.5,0.5
Fair_0.05_0.35,34000,6000,0.5,0.5
Fair_0.05_0.38,35200,4800,0.5,0.5
Fair_0.05_0.4,36000,4000,0.5,0.5
Fair_0.05_0.43,37200,2800,0.5,0.5
Fair_0.05_0.45,38000,2000,0.5,0.5
Fair_0.05_0.48,39200,800,0.5,0.5
Fair_0.05_0.5,40000,0,0.5,0.5
Fair_0.1_0.02,41600,38400,0.5,0.5
Fair_0.1_0.05,44000,36000,0.5,0.5
Fair_0.1_0.08,46400,33600,0.5,0.5
Fair_0.1_0.1,48000,32000,0.5,0.5
Fair_0.1_0.12,49599,30399,0.5,0.5
Fair_0.1_0.15,52000,28000,0.5,0.5
Fair_0.1_0.18,54400,25600,0.5,0.5
Fair_0.1_0.2,56000,24000,0.5,0.5
Fair_0.1_0.22,57600,22400,0.5,0.5
Fair_0.1_0.25,60000,20000,0.5,0.5
Fair_0.1_0.28,62400,17600,0.5,0.5
Fair_0.1_0.3,64000,16000,0.5,0.5
Fair_0.1_0.32,65600,14400,0.5,0.5
Fair_0.1_0.35,68000,12000,0.5,0.5
Fair_0.1_0.38,70400,9600,0.5,0.5
Fair_0.1_0.4,72000,8000,0.5,0.5
Fair_0.1_0.43,74400,5600,0.5,0.5
Fair_0.1_0.45,76000,4000,0.5,0.5
Fair_0.1_0.48,78400,1600,0.5,0.5
Fair_0.1_0.5,80000,0,0.5,0.5
Fair_0.15_0.02,62400,57600,0.5,0.5
Fair_0.15_0.05,66000,54000,0.5,0.5
Fair_0.15_0.08,69600,50400,0.5,0.5
Fair_0.15_0.1,72000,48000,0.5,0.5
Fair_0.15_0.12,74400,45600,0.5,0.5
Fair_0.15_0.15,78000,42000,0.5,0.5
Fair_0.15_0.18,81600,38400,0.5,0.5
Fair_0.15_0.2,84000,36000,0.5,0.5
Fair_0.15_0.22,86399,33600,0.5,0.5
Fair_0.15_0.25,90000,30000,0.5,0.5
Fair_0.15_0.28,93600,26400,0.5,0.5
Fair_0.15_0.3,96000,24000,0.5,0.5
Fair_0.15_0.32,98400,21600,0.5,0.5
Fair_0.15_0.35,102000,18000,0.5,0.5
Fair_0.15_0.38,105600,14400,0.5,0.5
Fair_0.15_0.4,108000,12000,0.5,0.5
Fair_0.15_0.43,111600,8400,0.5,0.5
Fair_0.15_0.45,114000,6000,0.5,0.5
Fair_0.15_0.48,117600,2400,0.5,0.5
Fair_0.15_0.5,120000,0,0.5,0.5
Fair_0.2_0.02,83200,76800,0.5,0.5
Fair_0.2_0.05,88000,72000,0.5,0.5
Fair_0.2_0.08,92800,67200,0.5,0.5
Fair_0.2_0.1,96000,64000,0.5,0.5
Fair_0.2_0.12,99200,60800,0.5,0.5
Fair_0.2_0.15,104000,56000,0.5,0.5
Fair_0.2_0.18,108800,51200,0.5,0.5
Fair_0.2_0.2,112000,48000,0.5,0.5
Fair_0.2_0.22,115200,44800,0.5,0.5
Fair_0.2_0.25,120000,40000,0.5,0.5
Fair_0.2_0.28,124800,35200,0.5,0.5
Fair_0.2_0.3,128000,32000,0.5,0.5
Fair_0.2_0.32,131200,28800,0.5,0.5
Fair_0.2_0.35,136000,24000,0.5,0.5
Fair_0.2_0.38,140800,19200,0.5,0.5
Fair_0.2_0.4,144000,16000,0.5,0.5
Fair_0.2_0.43,148800,11200,0.5,0.5
Fair_0.2_0.45,152000,8000,0.5,0.5
Fair_0.2_0.48,156800,3200,0.5,0.5
Fair_0.2_0.5,160000,0,0.5,0.5
Fair_0.25_0.02,104000,96000,0.5,0.5
Fair_0.25_0.05,110000,90000,0.5,0.5
Fair_0.25_0.08,116000,84000,0.5,0.5
Fair_0.25_0.1,120000,80000,0.5,0.5
Fair_0.25_0.12,124000,76000,0.5,0.5
Fair_0.25_0.15,130000,70000,0.5,0.5
Fair_0.25_0.18,136000,64000,0.5,0.5
Fair_0.25_0.2,140000,60000,0.5,0.5
Fair_0.25_0.22,144000,56000,0.5,0.5
Fair_0.25_0.25,150000,50000,0.5,0.5
Fair_0.25_0.28,156000,44000,0.5,0.5
Fair_0.25_0.3,160000,40000,0.5,0.5
Fair_0.25_0.32,164000,36000,0.5,0.5
Fair_0.25_0.35,170000,30000,0.5,0.5
Fair_0.25_0.38,176000,24000,0.5,0.5
Fair_0.25_0.4,180000,20000,0.5,0.5
Fair_0.25_0.43,186000,14000,0.5,0.5
Fair_0.25_0.45,190000,10000,0.5,0.5
Fair_0.25_0.48,196000,4000,0.5,0.5
Fair_0.25_0.5,200000,0,0.5,0.5
Fair_0.3_0.02,124800,115200,0.5,0.5
Fair_0.3_0.05,132000,108000,0.5,0.5
Fair_0.3_0.08,139200,100800,0.5,0.5
Fair_0.3_0.1,144000,96000,0.5,0.5
Fair_0.3_0.12,148800,91200,0.5,0.5
Fair_0.3_0.15,156000,84000,0.5,0.5
Fair_0.3_0.18,163200,76800,0.5,0.5
Fair_0.3_0.2,168000,72000,0.5,0.5
Fair_0.3_0.22,172799,67200,0.5,0.5
Fair_0.3_0.25,180000,60000,0.5,0.5
Fair_0.3_0.28,187200,52800,0.5,0.5
Fair_0.3_0.3,192000,48000,0.5,0.5
Fair_0.3_0.32,196800,43200,0.5,0.5
Fair_0.3_0.35,204000,36000,0.5,0.5
Fair_0.3_0.38,211200,28800,0.5,0.5
Fair_0.3_0.4,216000,24000,0.5,0.5
Fair_0.3_0.43,223200,16800,0.5,0.5
Fair_0.3_0.45,228000,12000,0.5,0.5
