Scenario,total_population,supply_rate,supply_total,sub_population,region_population,Allocation,utility_slope,Achieved Utility,Total Utility,Max Utility,Gini Value,Epsilon
Equal,800000.0,0.0,0.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[0.0, 0.0]","[[3 3]
 [3 3]]","[0.0, 0.0]",0.0,[1200000. 1200000.],,
Equal,800000.0,0.05,40000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[20000.0, 20000.0]","[[3 3]
 [3 3]]","[60000.0, 60000.0]",120000.0,[1200000. 1200000.],0.0,
Equal,800000.0,0.1,80000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[40000.0, 40000.0]","[[3 3]
 [3 3]]","[120000.0, 120000.0]",240000.0,[1200000. 1200000.],0.0,
Equal,800000.0,0.15,120000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[60000.0, 60000.0]","[[3 3]
 [3 3]]","[180000.0, 180000.0]",360000.0,[1200000. 1200000.],0.0,
Equal,800000.0,0.2,160000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[80000.0, 80000.0]","[[3 3]
 [3 3]]","[240000.0, 240000.0]",480000.0,[1200000. 1200000.],0.0,
Equal,800000.0,0.25,200000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[100000.0, 100000.0]","[[3 3]
 [3 3]]","[300000.0, 300000.0]",600000.0,[1200000. 1200000.],0.0,
Equal,800000.0,0.3,240000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[120000.0, 120000.0]","[[3 3]
 [3 3]]","[360000.0, 360000.0]",720000.0,[1200000. 1200000.],0.0,
Equal,800000.0,0.35,280000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[140000.0, 140000.0]","[[3 3]
 [3 3]]","[420000.0, 420000.0]",840000.0,[1200000. 1200000.],0.0,
Equal,800000.0,0.4,320000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[160000.0, 160000.0]","[[3 3]
 [3 3]]","[480000.0, 480000.0]",960000.0,[1200000. 1200000.],0.0,
Equal,800000.0,0.45,360000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[180000.0, 180000.0]","[[3 3]
 [3 3]]","[540000.0, 540000.0]",1080000.0,[1200000. 1200000.],0.0,
Equal,800000.0,0.5,400000.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[200000.0, 200000.0]","[[3 3]
 [3 3]]","[600000.0, 600000.0]",1200000.0,[1200000. 1200000.],0.0,
Fair,800000.0,0.0,0.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[0.0, 0.0]","[[3 3]
 [3 3]]","[0.0, 0.0]",0.0,[1200000. 1200000.],,0.02
Fair,800000.0,0.0,0.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[0.0, 0.0]","[[3 3]
 [3 3]]","[0.0, 0.0]",0.0,[1200000. 1200000.],,0.05
Fair,800000.0,0.0,0.0,"[[200000. 200000.]
 [200000. 200000.]]",[400000. 400000.],"[0.0, 0.0]","[[3 3]
 [3 3]]","[0.0, 0.0]",0.0,[1200000. 1200000.],,0.08
