Region1,Region2,Region1_NonAged,Region2_NonAged,Region1_Aged,Region2_Aged,Total_Mortality,R1_Aged_MaskRate,R1_NonAged_MaskRate,R2_Aged_MaskRate,R2_NonAged_MaskRate,policy,supply_rate,epsilon,aged_priority_ratio
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Equal,0.0,,1.0
0.113929,0.113929,0.038900,0.038900,0.188959,0.188959,0.113929,0.100000,0.000000,0.100000,0.000000,Equal,0.05,,1.0
0.106684,0.106684,0.037743,0.037743,0.175626,0.175626,0.106684,0.200000,0.000000,0.200000,0.000000,Equal,0.1,,1.0
0.100274,0.100274,0.036667,0.036667,0.163881,0.163881,0.100274,0.300000,0.000000,0.300000,0.000000,Equal,0.15,,1.0
0.094600,0.094600,0.035670,0.035670,0.153529,0.153529,0.094600,0.400000,0.000000,0.400000,0.000000,Equal,0.2,,1.0
0.089571,0.089571,0.034750,0.034750,0.144393,0.144393,0.089571,0.500000,0.000000,0.500000,0.000000,Equal,0.25,,1.0
0.085105,0.085105,0.033901,0.033901,0.136309,0.136309,0.085105,0.600000,0.000000,0.600000,0.000000,Equal,0.3,,1.0
0.081128,0.081128,0.033118,0.033118,0.129137,0.129137,0.081128,0.700000,0.000000,0.700000,0.000000,Equal,0.35,,1.0
0.077576,0.077576,0.032397,0.032397,0.122755,0.122755,0.077576,0.800000,0.000000,0.800000,0.000000,Equal,0.4,,1.0
0.074394,0.074394,0.031732,0.031732,0.117056,0.117056,0.074394,0.900000,0.000000,0.900000,0.000000,Equal,0.45,,1.0
0.071534,0.071534,0.031119,0.031119,0.111950,0.111950,0.071534,1.000000,0.000000,1.000000,0.000000,Equal,0.5,,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.02,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.05,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.08,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.1,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.12,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.15,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.18,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.2,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.22,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.25,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.28,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.3,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.32,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.35,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.38,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.4,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.43,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.45,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.48,1.0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,0.000000,0.000000,0.000000,0.000000,Fair,0.0,0.5,1.0
0.113622,0.114238,0.038852,0.038948,0.188393,0.189528,0.113930,0.104000,0.000000,0.096000,0.000000,Fair,0.05,0.02,1.0
0.113165,0.114704,0.038781,0.039020,0.187548,0.190387,0.113934,0.110000,0.000000,0.090000,0.000000,Fair,0.05,0.05,1.0
0.112710,0.115173,0.038709,0.039093,0.186711,0.191253,0.113941,0.116000,0.000000,0.084000,0.000000,Fair,0.05,0.08,1.0
0.112409,0.115487,0.038662,0.039141,0.186156,0.191834,0.113948,0.120000,0.000000,0.080000,0.000000,Fair,0.05,0.1,1.0
0.112110,0.115804,0.038615,0.039190,0.185604,0.192418,0.113957,0.123995,0.000000,0.075995,0.000000,Fair,0.05,0.12,1.0
