Region1,Region2,Region1_NonAged,Region2_NonAged,Region1_Aged,Region2_Aged,Total_Mortality,policy,supply_rate,epsilon,R1_Masks,R2_Masks
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Equal,0.0,,0,0
0.114524,0.114524,0.037645,0.037645,0.191404,0.191404,0.114524,Equal,0.05,,20000,20000
0.107120,0.107120,0.035211,0.035211,0.179029,0.179029,0.107120,Equal,0.1,,40000,40000
0.099937,0.099937,0.032849,0.032849,0.167025,0.167025,0.099937,Equal,0.15,,60000,60000
0.093021,0.093021,0.030576,0.030576,0.155466,0.155466,0.093021,Equal,0.2,,80000,80000
0.086414,0.086414,0.028404,0.028404,0.144424,0.144424,0.086414,Equal,0.25,,100000,100000
0.080159,0.080159,0.026347,0.026347,0.133970,0.133970,0.080159,Equal,0.3,,120000,120000
0.074290,0.074290,0.024418,0.024418,0.124161,0.124161,0.074290,Equal,0.35,,140000,140000
0.068835,0.068835,0.022625,0.022625,0.115045,0.115045,0.068835,Equal,0.4,,160000,160000
0.063812,0.063812,0.020974,0.020974,0.106651,0.106651,0.063812,Equal,0.45,,180000,180000
0.059226,0.059226,0.019467,0.019467,0.098985,0.098985,0.059226,Equal,0.5,,200000,200000
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.02,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.05,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.08,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.1,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.12,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.15,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.18,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.2,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.22,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.25,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.28,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.3,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.32,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.35,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.38,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.4,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.43,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.45,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.48,0,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Fair,0.0,0.5,0,0
0.114224,0.114825,0.037546,0.037744,0.190903,0.191906,0.114525,Fair,0.05,0.02,20800,19200
0.113775,0.115275,0.037399,0.037892,0.190152,0.192659,0.114525,Fair,0.05,0.05,22000,18000
0.113327,0.115727,0.037251,0.038040,0.189402,0.193414,0.114527,Fair,0.05,0.08,23200,16800
0.113028,0.116028,0.037153,0.038139,0.188903,0.193917,0.114528,Fair,0.05,0.1,24000,16000
0.112730,0.116330,0.037055,0.038238,0.188405,0.194422,0.114530,Fair,0.05,0.12,24799,15199
0.112282,0.116783,0.036908,0.038387,0.187657,0.195178,0.114532,Fair,0.05,0.15,26000,14000
0.111836,0.117236,0.036761,0.038536,0.186911,0.195936,0.114536,Fair,0.05,0.18,27200,12800
0.111539,0.117539,0.036663,0.038636,0.186414,0.196442,0.114539,Fair,0.05,0.2,28000,12000
0.111242,0.117841,0.036566,0.038735,0.185918,0.196948,0.114542,Fair,0.05,0.22,28800,11200
0.110797,0.118296,0.036420,0.038885,0.185175,0.197708,0.114547,Fair,0.05,0.25,30000,10000
0.110353,0.118752,0.036274,0.039034,0.184432,0.198469,0.114552,Fair,0.05,0.28,31200,8800
0.110057,0.119056,0.036176,0.039134,0.183938,0.198977,0.114556,Fair,0.05,0.3,32000,8000
0.109762,0.119360,0.036079,0.039234,0.183445,0.199485,0.114561,Fair,0.05,0.32,32800,7200
0.109320,0.119816,0.035934,0.039384,0.182706,0.200248,0.114568,Fair,0.05,0.35,34000,6000
0.108878,0.120273,0.035789,0.039535,0.181968,0.201012,0.114576,Fair,0.05,0.38,35200,4800
0.108584,0.120579,0.035692,0.039635,0.181477,0.201522,0.114581,Fair,0.05,0.4,36000,4000
0.108144,0.121037,0.035547,0.039786,0.180741,0.202288,0.114590,Fair,0.05,0.43,37200,2800
0.107851,0.121342,0.035451,0.039886,0.180251,0.202798,0.114597,Fair,0.05,0.45,38000,2000
0.107412,0.121801,0.035307,0.040037,0.179517,0.203565,0.114607,Fair,0.05,0.48,39200,800
0.107120,0.122107,0.035211,0.040138,0.179029,0.204077,0.114614,Fair,0.05,0.5,40000,0
0.106536,0.107705,0.035019,0.035403,0.178054,0.180006,0.107120,Fair,0.1,0.02,41600,38400
0.105664,0.108584,0.034732,0.035692,0.176596,0.181477,0.107124,Fair,0.1,0.05,44000,36000
0.104795,0.109467,0.034446,0.035982,0.175144,0.182952,0.107131,Fair,0.1,0.08,46400,33600
0.104218,0.110057,0.034257,0.036176,0.174179,0.183938,0.107138,Fair,0.1,0.1,48000,32000
0.103642,0.110649,0.034067,0.036371,0.173217,0.184928,0.107146,Fair,0.1,0.12,49599,30399
0.102781,0.111539,0.033784,0.036663,0.171777,0.186414,0.107160,Fair,0.1,0.15,52000,28000
0.101923,0.112431,0.033502,0.036957,0.170344,0.187906,0.107177,Fair,0.1,0.18,54400,25600
0.101354,0.113028,0.033315,0.037153,0.169392,0.188903,0.107191,Fair,0.1,0.2,56000,24000
0.100786,0.113626,0.033129,0.037349,0.168443,0.189902,0.107206,Fair,0.1,0.22,57600,22400
0.099937,0.114524,0.032849,0.037645,0.167025,0.191404,0.107231,Fair,0.1,0.25,60000,20000
0.099092,0.115426,0.032572,0.037941,0.165613,0.192910,0.107259,Fair,0.1,0.28,62400,17600
0.098531,0.116028,0.032387,0.038139,0.164675,0.193917,0.107280,Fair,0.1,0.3,64000,16000
0.097972,0.116632,0.032203,0.038338,0.163740,0.194926,0.107302,Fair,0.1,0.32,65600,14400
0.097136,0.117539,0.031929,0.038636,0.162344,0.196442,0.107337,Fair,0.1,0.35,68000,12000
0.096305,0.118448,0.031655,0.038935,0.160954,0.197961,0.107376,Fair,0.1,0.38,70400,9600
0.095753,0.119056,0.031474,0.039134,0.160031,0.198977,0.107404,Fair,0.1,0.4,72000,8000
0.094928,0.119969,0.031203,0.039435,0.158653,0.200503,0.107448,Fair,0.1,0.43,74400,5600
0.094381,0.120579,0.031023,0.039635,0.157739,0.201522,0.107480,Fair,0.1,0.45,76000,4000
0.093563,0.121495,0.030754,0.039936,0.156372,0.203054,0.107529,Fair,0.1,0.48,78400,1600
0.093021,0.122107,0.030576,0.040138,0.155466,0.204077,0.107564,Fair,0.1,0.5,80000,0
0.099092,0.100786,0.032572,0.033129,0.165613,0.168443,0.099939,Fair,0.15,0.02,62400,57600
0.097832,0.102066,0.032158,0.033549,0.163507,0.170583,0.099949,Fair,0.15,0.05,66000,54000
0.096581,0.103354,0.031746,0.033973,0.161416,0.172736,0.099968,Fair,0.15,0.08,69600,50400
0.095753,0.104218,0.031474,0.034257,0.160031,0.174179,0.099985,Fair,0.15,0.1,72000,48000
0.094928,0.105084,0.031203,0.034542,0.158653,0.175627,0.100006,Fair,0.15,0.12,74400,45600
0.093699,0.106391,0.030799,0.034971,0.156600,0.177811,0.100045,Fair,0.15,0.15,78000,42000
0.092480,0.107705,0.030398,0.035403,0.154563,0.180006,0.100092,Fair,0.15,0.18,81600,38400
0.091673,0.108584,0.030133,0.035692,0.153214,0.181477,0.100129,Fair,0.15,0.2,84000,36000
0.090871,0.109467,0.029869,0.035982,0.151873,0.182952,0.100169,Fair,0.15,0.22,86399,33600
0.089676,0.110797,0.029476,0.036420,0.149876,0.185175,0.100237,Fair,0.15,0.25,90000,30000
0.088492,0.112133,0.029087,0.036859,0.147897,0.187408,0.100313,Fair,0.15,0.28,93600,26400
0.087709,0.113028,0.028829,0.037153,0.146588,0.188903,0.100368,Fair,0.15,0.3,96000,24000
0.086930,0.113925,0.028574,0.037448,0.145287,0.190402,0.100428,Fair,0.15,0.32,98400,21600
0.085772,0.115275,0.028193,0.037892,0.143352,0.192659,0.100524,Fair,0.15,0.35,102000,18000
0.084626,0.116632,0.027816,0.038338,0.141435,0.194926,0.100629,Fair,0.15,0.38,105600,14400
0.083868,0.117539,0.027567,0.038636,0.140169,0.196442,0.100703,Fair,0.15,0.4,108000,12000
0.082741,0.118904,0.027196,0.039084,0.138285,0.198723,0.100822,Fair,0.15,0.43,111600,8400
0.081996,0.119816,0.026952,0.039384,0.137041,0.200248,0.100906,Fair,0.15,0.45,114000,6000
0.080889,0.121189,0.026588,0.039836,0.135191,0.202543,0.101039,Fair,0.15,0.48,117600,2400
0.080159,0.122107,0.026347,0.040138,0.133970,0.204077,0.101133,Fair,0.15,0.5,120000,0
0.091942,0.094108,0.030221,0.030933,0.153663,0.157282,0.093025,Fair,0.2,0.02,83200,76800
0.090339,0.095753,0.029694,0.031474,0.150983,0.160031,0.093046,Fair,0.2,0.05,88000,72000
0.088754,0.097414,0.029173,0.032020,0.148335,0.162809,0.093084,Fair,0.2,0.08,92800,67200
0.087709,0.098531,0.028829,0.032387,0.146588,0.164675,0.093120,Fair,0.2,0.1,96000,64000
0.086672,0.099655,0.028489,0.032757,0.144855,0.166553,0.093164,Fair,0.2,0.12,99200,60800
0.085134,0.101354,0.027983,0.033315,0.142285,0.169392,0.093244,Fair,0.2,0.15,104000,56000
0.083616,0.103067,0.027484,0.033878,0.139748,0.172256,0.093342,Fair,0.2,0.18,108800,51200
0.082616,0.104218,0.027155,0.034257,0.138077,0.174179,0.093417,Fair,0.2,0.2,112000,48000
0.081626,0.105374,0.026830,0.034637,0.136422,0.176111,0.093500,Fair,0.2,0.22,115200,44800
0.080159,0.107120,0.026347,0.035211,0.133970,0.179029,0.093639,Fair,0.2,0.25,120000,40000
0.078714,0.108878,0.025872,0.035789,0.131555,0.181968,0.093796,Fair,0.2,0.28,124800,35200
0.077763,0.110057,0.025560,0.036176,0.129966,0.183938,0.093910,Fair,0.2,0.3,128000,32000
